,,Date,yes_d,yes_r,no_d,no_r,polarity
113,1,2013-01-03,0,220,192,0,-1.0
113,2,2013-01-03,0,224,187,0,-1.0
113,3,2013-01-03,0,227,190,1,-0.9952153110047847
113,4,2013-01-03,193,1,0,229,0.9952718676122931
113,5,2013-01-03,0,228,195,1,-0.9952830188679245
113,6,2013-01-04,193,161,0,67,0.23515439429928742
113,7,2013-01-14,181,222,0,0,-0.10173697270471464
113,8,2013-01-14,134,166,42,53,-0.053164556962025315
113,9,2013-01-14,3,1,176,221,0.1172069825436409
113,10,2013-01-15,65,228,127,0,-0.6904761904761905
113,11,2013-01-15,142,225,51,1,-0.31742243436754175
113,12,2013-01-15,0,0,190,229,0.09307875894988067
113,13,2013-01-15,5,157,188,71,-0.6389548693586699
113,14,2013-01-15,192,135,0,91,0.35406698564593303
113,15,2013-01-15,7,214,183,14,-0.8995215311004785
113,16,2013-01-15,3,203,189,25,-0.8666666666666667
113,17,2013-01-15,1,201,191,26,-0.8711217183770883
113,18,2013-01-15,3,213,190,15,-0.9144893111638955
113,19,2013-01-15,6,202,186,26,-0.8476190476190476
113,20,2013-01-15,4,219,189,9,-0.9382422802850356
113,21,2013-01-15,190,38,2,190,0.8095238095238095
113,22,2013-01-15,193,49,1,179,0.7630331753554502
113,23,2013-01-22,196,199,0,29,0.06132075471698113
113,24,2013-01-22,0,0,187,229,0.10096153846153846
113,25,2013-01-23,3,229,193,0,-0.9858823529411764
113,26,2013-01-23,6,228,189,1,-0.9669811320754716
113,27,2013-01-23,120,171,73,56,-0.1619047619047619
113,28,2013-01-23,150,1,47,230,0.7757009345794392
113,29,2013-01-23,86,199,111,33,-0.44522144522144524
113,30,2013-02-04,182,193,0,27,0.03980099502487562
113,31,2013-02-04,181,171,1,49,0.14427860696517414
113,32,2013-02-05,4,225,188,0,-0.9808153477218226
113,33,2013-02-05,3,225,189,0,-0.9856115107913669
113,34,2013-02-06,193,1,2,226,0.985781990521327
113,35,2013-02-06,54,21,141,207,0.23404255319148937
113,36,2013-02-06,194,0,1,228,0.9952718676122931
113,37,2013-02-06,26,227,166,1,-0.8714285714285714
113,38,2013-02-13,130,224,66,6,-0.3615023474178404
113,39,2013-02-13,194,228,0,0,-0.08056872037914692
113,40,2013-02-14,2,227,194,0,-0.9905437352245863
113,41,2013-02-14,2,225,191,1,-0.9856801909307876
113,42,2013-02-15,0,222,186,4,-0.9805825242718447
